id;name;slug;uic;uic8_sncf;latitude;longitude;parent_station_id;is_city;country;is_main_station;time_zone;is_suggestable;sncf_id;sncf_tvs_id;sncf_is_enabled;idtgv_id;idtgv_is_enabled;db_id;db_is_enabled;busbud_id;busbud_is_enabled;ouigo_id;ouigo_is_enabled;trenitalia_id;trenitalia_is_enabled;trenitalia_rtvt_id;ntv_rtiv_id;ntv_id;ntv_is_enabled;hkx_id;hkx_is_enabled;renfe_id;renfe_is_enabled;atoc_id;atoc_is_enabled;benerail_id;benerail_is_enabled;sncf_self_service_machine;same_as;info:de;info:en;info:es;info:fr;info:it;info:nl;info:cs;info:da;info:hu;info:ja;info:ko;info:pl;info:pt;info:ru;info:sv;info:tr;info:zh
77;Dax;dax;8767320;87673202;43.720472;-1.050301;5776;f;FR;t;Europe/Paris;t;FRACG;DAX;t;ACG;t;8700043;f;;f;;f;;f;;;;f;;f;8700052;f;;f;FRACG;f;t;;;;;;;;;;;;;;;;;;
80;Rezé;reze;;;47.2000000000;-1.5666670000;;t;FR;f;Europe/Paris;f;FRACJ;;t;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
82;Rezé—Pont-Rousseau;reze-pont-rousseau;8748103;87481036;47.1932425;-1.5495445;80;f;FR;t;Europe/Paris;t;FREFC;;t;;f;8704363;f;;f;;f;;f;;;;f;;f;8700230;f;;f;FREFC;f;f;;;;;;;;;;;;;;;;;;
83;Cherbourg;cherbourg;8744487;87444877;49.633505;-1.621515;;f;FR;f;Europe/Paris;t;FRACK;CBU;t;;f;8700227;f;;f;;f;;f;;;;f;;f;8700777;f;;f;FRACK;f;t;;;;Cherburgo-Octeville;;;;;;;シェルブール＝オクトヴィル;셰르부르옥트빌;;;Шербур-Октевиль;;;瑟堡-奥克特维尔
84;Angers St-Laud;angers-st-laud;8748400;87484006;47.464647;-0.556820;344;f;FR;t;Europe/Paris;t;FRACL;ASL;t;;f;8700022;f;;f;ACL;t;;f;;;;f;;f;8700026;f;;f;FRACL;f;t;;;;;;;;;;;アンジェ;앙제;;;Анже;;;昂热
85;Saumur;saumur;8748760;87487603;47.26900;-0.07136;5831;f;FR;t;Europe/Paris;t;FRACN;SUD;t;;f;8704969;f;;f;;f;;f;;;;f;;f;8700090;f;;f;FRACN;f;t;;;;;;;;;;;ソミュール;소뮈르;;;Сомюр;;;索米尔
87;Cérences Centre;cerences-centre;8738819;87388199;48.91686;-1.437824;9462;f;FR;f;Europe/Paris;t;FRDGZ;;t;;f;8703000;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
89;Reims;reims;8724856;;49.2500000000;4.0333330000;;t;FR;f;Europe/Paris;t;FRACQ;;t;;f;8796006;f;u0fb5v;t;;f;;f;;;;f;;f;8700096;f;;f;;f;f;;;;;;;;Remeš;;;ランス;兰斯;;;Реймс;;;兰斯
90;Reims Maison Blanche;reims-maison-blanche;8717127;87171272;49.2336853;4.0224927;89;f;FR;f;Europe/Paris;t;FRBBX;;t;;f;8701874;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;Remeš;;;ランス;兰斯;;;Реймс;;;兰斯
91;Champagne-Ardenne TGV;champagne-ardenne-tgv;8717192;87171926;49.214806;3.994632;89;f;FR;f;Europe/Paris;t;FREAH;CGV;t;;f;8705734;f;;f;;f;;f;;;;f;;f;8700781;f;;f;FREAH;f;t;;8 km von Reims entfernt;8km from Reims;a 8 km de Reims;à 8 km de Reims;8km da Reims;;Remeš;;;ランス;兰斯;;;Реймс;;;兰斯
92;Reims Ville;reims-ville;8717100;87171009;49.258978;4.024435;89;f;FR;t;Europe/Paris;t;FRRHE;RMS;t;;f;8700081;f;;f;;f;;f;;;;f;;f;;f;;f;FRRHE;f;t;;;;;;;;Remeš;;;ランス;兰斯;;;Реймс;;;兰斯
93;Laval;laval;8747840;87478404;48.076206;-0.760907;4714;f;FR;t;Europe/Paris;t;FRACR;LAL;t;;f;8701470;f;;f;;f;;f;;;;f;;f;8700716;f;;f;FRACR;f;t;;;;;;;;;;;;;;;;;;
94;Accous;accous;8767278;87672782;42.9833330000;-0.6000000000;;f;FR;f;Europe/Paris;t;FRACS;;t;;f;8702617;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
95;Achiet;achiet;8734204;87342048;50.1317525;2.780168;;f;FR;f;Europe/Paris;t;FRACT;;t;;f;8700583;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
96;Louverné;louverne;;;48.1333330000;-0.7000000000;;t;FR;f;Europe/Paris;f;FRACU;;t;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
97;Louverné;louverne;8747851;87478511;48.1088564;-0.7144109;96;f;FR;t;Europe/Paris;t;FREEB;;t;;f;8701463;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
98;Louverné Centre;louverne-centre;8747991;;48.12305356338282;-0.719904899597168;96;f;FR;f;Europe/Paris;t;FREEW;;t;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;FREEW;f;f;;;;;;;;;;;;;;;;;;
99;Mayenne;mayenne;;;48.3000000000;-0.6166670000;;t;FR;f;Europe/Paris;f;FRACW;;t;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
100;Mayenne;mayenne;8747859;87478594;48.3064552166399;-0.6205880641937256;99;f;FR;t;Europe/Paris;t;FREEI;;t;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
101;Mayenne Centre;mayenne-centre;8747860;87478602;48.299504040832794;-0.611339807510376;99;f;FR;f;Europe/Paris;t;FREEJ;;t;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
104;Arnage;arnage;;;47.9333330000;0.1833330000;;t;FR;f;Europe/Paris;f;FRADA;;t;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
105;Arnage;arnage;8739654;87396549;47.9285663;0.1898826;104;f;FR;t;Europe/Paris;t;FRDMK;;t;;f;8702332;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
106;Arnage Centre;arnage-centre;8736033;87360339;47.937288;0.163801;104;f;FR;f;Europe/Paris;t;FRDBM;;t;;f;8702686;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
107;Carnac;carnac;;;47.5833330000;-3.0833330000;;t;FR;f;Europe/Paris;f;FRADB;;t;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
108;Plouharnel—Carnac;plouharnel-carnac;8747641;87476416;47.6042943;-3.1184482;107;f;FR;f;Europe/Paris;t;FRECR;;t;;f;8704244;f;;f;;f;;f;;;;f;;f;8700737;f;;f;FRECR;f;f;;;;;;;;;;;;;;;;;;
109;Les Sables-Blancs;les-sables-blancs;8747626;87476267;47.5755984;-3.1324467;107;f;FR;f;Europe/Paris;t;FRECL;;t;;f;8704937;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
110;Carnac;carnac;8728967;87289678;47.584558972342386;-3.0826091766357417;107;f;FR;t;Europe/Paris;t;FRRNC;;t;;f;8701865;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;Alineamientos de Carnac;;;;;;;カルナック;;;;;;;卡尔纳克
111;St-Pierre-Quiberon;st-pierre-quiberon;;;47.5166670000;-3.1333330000;;t;FR;f;Europe/Paris;f;FRADC;;t;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
112;L’Isthme;listhme;8747627;87476275;47.5465051;-3.133699;111;f;FR;f;Europe/Paris;t;FRECM;;t;;f;8704936;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
113;St-Pierre-Quiberon;st-pierre-quiberon;8747644;87476440;47.5210574;-3.138905;111;f;FR;t;Europe/Paris;t;FRECU;;t;;f;8704642;f;;f;;f;;f;;;;f;;f;8700741;f;;f;FRECU;f;f;;;;;;;;;;;;;;;;;;圣皮耶尔屈伊伯龙
114;Metz;metz;8719203;87192039;49.109545;6.176593;4827;f;FR;t;Europe/Paris;t;FRADE;MZE;t;;f;8700019;f;;f;;f;;f;;;;f;;f;8700023;f;;f;FRADE;f;t;;;;;;;;Mety;;;メス;메스;;;Мец;;;梅斯
115;Forbach;forbach;;;49.1833330000;6.9000000000;;t;FR;f;Europe/Paris;f;FRADF;;t;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;t;;;;;;;;;;;;;;;;;;
117;Forbach;forbach-gare;8719300;87193003;49.1892278;6.9013184;115;f;FR;t;Europe/Paris;t;FRBQT;FOB;t;;f;8700271;t;;f;;f;;f;;;;f;;f;;f;;f;FRBQT;f;t;;Frankreich;France;Francia;France;Francia;;;;;フォルバック;;;;Форбах;;;福尔巴克
118;Sarreguemines;sarreguemines;;;49.1099500000;7.0674710000;;t;FR;f;Europe/Paris;f;FRADG;;t;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
119;Sarreguemines Poste;sarreguemines-poste;8740690;;49.110155;7.054923;118;f;FR;f;Europe/Paris;t;FRZDB;;t;;f;8705509;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
121;Sarreguemines;sarreguemines;8719361;87193615;49.1073357;7.0686398;118;f;FR;t;Europe/Paris;t;FRSGS;SGS;t;;f;8700439;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;Saargemünd;;;;;;;;;サルグミーヌ;;;;Саргемин;;;萨尔格米纳
122;Dunkerque;dunkerque;8728100;87281006;51.030470;2.368961;;f;FR;f;Europe/Paris;t;FRADI;DKQ;t;;f;8700004;f;u11dmf;t;;f;;f;;;;f;;f;8700005;f;;f;FRADI;f;t;;Dünkirchen;Dunkirk;;;;Duinkerke;Dunkerk;;;ダンケルク;됭케르크;Dunkierka;Dunquerque;Дюнкерк;;;敦刻尔克
123;Lille-Flandres;lille-flandres;8728600;87286005;50.636577;3.069870;4652;f;FR;f;Europe/Paris;t;FRADJ;LLF;t;;f;8700030;f;;f;ADJ;f;;f;;;;f;;f;;f;;f;FRADJ;t;t;;;;;;Lilla;Rijsel;;;;リール;릴;;;Лилль;;;里尔
